Nome,Stato,Altitudine (m),Latitudine,Longitudine,Regione/Cantone/Bundesland,Provincia/Distretto,Tipo strada,Superficie,Rif. strada,Wikipedia
Passo del Corso,Italia,532,44.2351112,11.5947273,Emilia-Romagna,Ravenna,secondary;unclassified,asphalt,SP70,
Colle dei Giovetti,Italia,913,44.279146,8.096348,Liguria,Savona,secondary,asphalt,SP490,https://it.wikipedia.org/wiki/Colle_dei_Giovetti
Passo della Montagnola,Italia,616,42.6230321,11.8377716,Lazio,Viterbo,primary,asphalt,SR312,https://it.wikipedia.org/wiki/Passo_della_Montagnola
Passo del Bocco,Italia,956,44.415258,9.4433967,Liguria,Genova,secondary,asphalt,SP27,https://it.wikipedia.org/wiki/Passo_del_Bocco
Sella di Casaselvatica,Italia,835,44.5489739,10.0375305,Emilia-Romagna,Parma,secondary,asphalt,SP15,
Passo del Ticchiano,Italia,1154,44.4278134,10.1148569,Emilia-Romagna,Parma,tertiary,asphalt,SP75,
Passo Mistadella,Italia,1034,44.3385198,9.8142522,Toscana,Massa-Carrara,residential,asphalt,SP36,
Foce Bertagna,Italia,867,44.3362852,9.7908801,Toscana,Massa-Carrara,residential;track;unclassified,asphalt,SP36,
Passo Calzavitello,Italia,850,44.3546296,9.733974,Toscana,Massa-Carrara,tertiary;unclassified,asphalt,SP65,
Passo del Cason di Lanza / Lanzenpass / Pas di Lance,Italia,1555,46.5659799,13.1709748,Friuli-Venezia Giulia,Udine,tertiary;track,asphalt,,https://it.wikipedia.org/wiki/Passo_del_Cason_di_Lanza
Valico della Valletta,Italia,406,44.2131927,11.7130051,Emilia-Romagna,Ravenna,tertiary;unclassified,asphalt,SP63,
Passo dell'Eremo,Italia,921,44.0301864,11.641241,Toscana,Firenze,secondary,asphalt,SP74,
Passo della Peschiera,Italia,925,44.017246,11.6565766,Emilia-Romagna,Forlì-Cesena,secondary,asphalt,SP74,
Col Agnel / Colle dell'Agnello,Italia,2744,44.6838851,6.9795875,Piemonte,Cuneo,secondary,asphalt,D 205t;SP251,https://fr.wikipedia.org/wiki/Col_Agnel
Passo Santa Donna,Italia,940,44.5452017,9.7325661,Emilia-Romagna,Parma,residential;secondary;track,asphalt,SP21,
Passo Croce dello Scrivano,Italia,1143,40.5640738,15.8380942,Basilicata,Potenza,primary;tertiary,asphalt,SS92,
Valico del Monte Carruozzo,Italia,1228,40.8030666,15.4099224,Basilicata,Potenza,secondary;unclassified,asphalt,SS7,
Passo di Saragiolo,Italia,935,42.8357635,11.6402047,Toscana,Siena,secondary,asphalt,SP18,
